HYBAS_ID,area,DIST_MAIN
1050000010,45567.0,0.0
1050001370,11678.4,0.0
1050001380,5524.6,0.0
1050001510,42400.5,0.0
1050001520,16198.5,0.0
1050002290,4584.0,0.0
1050002300,11221.8,0.0
1050002760,63986.6,0.0
1050002770,35181.7,0.0
1050003990,62992.8,0.0
1050005720,5339.9,0.0
1050005730,3028.6,0.0
1050005860,4797.4,0.0
1050005870,477.4,0.0
1050005880,4169.8,0.0
1050005890,14366.9,0.0
1050006520,4781.1,0.0
1050006530,11102.3,0.0
1050006850,28620.5,0.0
1050006860,7037.8,0.0
1050007000,26077.6,0.0
1050007010,708.7,0.0
1050007060,6517.1,0.0
1050007070,7799.8,0.0
1050007260,64696.3,0.0
1050007270,30966.0,0.0
1050008100,1426.2,0.0
1051144990,619.5,29.6
1051145090,14434.3,29.6
1051139500,23961.1,74.1
1051139430,49429.4,74.1
1051131830,123925.3,150.4
1051131990,2146.6,150.6
1051132520,3836.5,278.1
1051132340,8577.0,278.1
1051115400,31003.9,301.1
1051115240,52926.1,301.3
1051137860,12864.4,399.6
1051137960,5838.4,399.6
1051118600,22823.2,558.5
1051118440,36190.4,558.5
1051046600,10533.6,771.2
1051046480,15098.2,771.4
1051038680,402.4,863.3
1051038740,60316.5,863.3
1051035420,23063.3,882.1
1051035300,24860.0,882.1
1051014470,45571.4,974.0
1051014460,21023.9,974.1
1050992050,19188.5,1162.0
1050991900,15084.5,1162.2
1050982500,33817.9,1227.4
1050982060,11241.5,1227.4
1050929730,7529.7,1522.2
1050929860,15232.8,1522.2
1050918220,3260.9,1573.5
1050918230,14846.2,1573.5
1050901700,27291.6,1681.7
1050901710,10541.8,1681.7
1050008110,49488.3,0.0
1050008470,95248.8,0.0
1050008480,1482.6,0.0
1050008570,46797.7,0.0
1050008580,32106.1,0.0
1050009010,51382.7,0.0
1050009020,7777.6,0.0
1050009130,43302.3,0.0
1050009140,244.5,0.0
1050009170,17616.1,0.0
1050009180,7782.7,0.0
1050009450,5663.0,0.0
1051299640,5305.9,127.8
1051299770,8226.7,127.8
1051299560,72274.0,251.4
1051299550,20159.4,251.6
1051285320,27779.8,570.3
1051285400,3108.3,570.5
1051289610,29211.2,628.1
1051289620,5406.7,628.1
1050009460,56548.9,0.0
1050010030,17865.4,0.0
1051358080,60989.3,269.3
1051357890,6690.0,269.4
1051355140,22821.4,340.7
1051355040,10318.9,340.7
1051363390,13608.9,595.5
1051363500,9288.5,595.7
1051360960,7525.5,751.3
1051360840,6210.4,751.5
1050010040,56638.4,0.0
1050010590,61392.1,0.0
1050010600,37650.8,0.0
1050011120,10247.3,0.0
1050011130,3171.1,0.0
1050011180,14851.8,0.0
1050011190,28848.2,0.0
1050011420,23076.1,0.0
1050011430,3904.2,0.0
1050011500,19105.4,0.0
1050011510,409.9,0.0
1050011530,4421.4,0.0
1050011660,11174.1,0.0
1051472390,42825.7,195.3
1051472430,26166.0,195.5
1051447780,1176.5,465.1
1051447890,54757.3,465.1
1051443690,16384.8,496.4
1051443680,9389.5,496.6
1051430860,34314.1,604.0
1051430830,29230.5,604.2
1051398950,8467.9,752.5
1051398880,12745.3,752.7
1051431950,25126.2,878.7
1051431940,766.6,878.9
1051382440,11679.3,883.1
1051382340,3508.6,883.1
1051431680,19076.7,908.7
1051431480,7760.6,908.9
1051378410,21294.2,909.8
1051378400,8285.8,909.9
1051418940,23152.4,1008.4
1051418880,44507.5,1008.6
1051438780,63954.6,1100.0
1051438860,4447.7,1100.2
1051347100,39974.4,1120.4
1051347090,12277.9,1120.6
1051451560,51084.7,1188.4
1051451550,3885.9,1188.6
1051453310,4039.1,1224.3
1051453390,6857.4,1224.5
1051457490,19812.5,1281.3
1051457550,10225.4,1281.5
1051387160,10478.1,1354.9
1051387100,15786.3,1355.1
1051478700,21896.4,1462.2
1051478770,43487.7,1462.2
1051376970,6263.8,1464.3
1051376870,2724.8,1464.5
1051369690,4621.7,1533.8
1051369590,34243.3,1534.0
1051473950,13358.1,1699.7
1051473880,81873.6,1699.9
1051413460,10521.3,1758.3
1051413580,2093.3,1758.3
1051412570,4687.0,1807.5
1051412560,24667.5,1807.5
1051409070,13507.8,1908.5
1051409000,2770.1,1908.6
1051487890,12945.0,1954.5
1051487960,21239.5,1954.7
1051400740,9436.2,1986.2
1051400750,24928.6,1986.3
1051466490,38279.8,2132.9
1051466350,32013.2,2132.9
1051423960,42104.9,2250.5
1051423970,24981.8,2250.7
1051408100,255.9,2373.8
1051408090,47045.2,2374.0
1051405290,27931.5,2390.5
1051405300,72293.7,2390.7
1051428730,9752.3,2465.7
1051428790,7853.7,2465.7
1051419860,9731.0,2627.3
1051419980,10114.8,2627.3
1051377550,24077.8,2655.6
1051377560,41788.5,2655.6
1050011670,17621.7,0.0
1050011960,31021.8,0.0
1050011970,1002.6,0.0
1050012020,28572.9,0.0
1050012030,16795.7,0.0
1050012210,102590.0,0.0
1050012220,24517.8,0.0
1050012540,19903.9,0.0
1050012550,3159.8,0.0
1050012590,2666.7,0.0
1051584690,64544.4,97.0
1051584780,2422.9,97.2
1051576130,81485.4,258.7
1051576090,77221.4,258.9
1051548260,2565.2,788.8
1051548220,29066.7,789.0
1051548760,644.4,828.1
1051548750,19497.6,828.3
1051552540,39400.2,861.1
1051552590,16047.4,861.1
1051569210,4140.2,1163.4
1051569100,11643.8,1163.4
1051571680,929.1,1204.7
1051571670,17432.3,1204.8
1051577000,29547.8,1260.4
1051576990,13325.6,1260.6
1050012600,772.3,0.0
1050012680,46725.2,0.0
1050012690,10344.3,0.0
1050012810,30280.3,0.0
1050012820,29845.0,0.0
1050013070,29195.5,0.0
1050013080,65284.3,0.0
1050013950,20521.7,0.0
1050013960,7998.0,0.0
1050014220,30262.9,0.0
1050014230,5404.7,0.0
1050014370,21323.4,0.0
1050014380,2669.4,0.0
1050014490,34806.1,0.0
1050014500,7381.5,0.0
1050014920,45083.1,0.0
1050014930,15664.1,0.0
1050015030,12586.6,0.0
1050015390,7797.6,0.0
1050015400,5267.0,0.0
1050015560,46364.3,0.0
1050015570,2911.8,0.0
1050015630,4739.9,0.0
1050015640,5012.0,0.0
1050015720,10168.2,0.0
1050015730,5918.9,0.0
1050015850,5118.9,0.0
1051620260,68986.1,153.8
1051620200,86977.8,153.9
1051624310,20461.2,639.1
1051624330,2295.5,639.3
1051626200,85063.1,687.4
1051626210,71225.1,687.5
1051609270,40070.4,894.6
1051609210,33.3,894.8
1051608780,1287.3,899.8
1051608790,114574.0,900.0
1051604190,5432.5,959.5
1051604130,58855.5,959.7
1051601200,39903.3,1006.9
1051601190,54648.9,1007.1
1051629430,98763.6,1240.0
1051629370,2011.6,1240.2
1051628750,6292.3,1272.6
1051628760,35678.7,1272.8
1051623250,31051.2,1386.1
1051623270,14063.0,1386.3
1051616230,51157.0,1655.6
1051616280,18982.3,1655.8
1051608870,20299.2,2152.9
1051608860,17977.9,2152.9
1050015860,22659.2,0.0
1050016760,16814.8,0.0
1050016770,3965.9,0.0
1050016850,29452.0,0.0
1050016860,25185.5,0.0
1050017350,29440.6,0.0
1050017360,705.7,0.0
1050017390,16730.0,0.0
1050017400,56886.6,0.0
1050018110,6.0,0.0
1050018120,29863.7,0.0
1051455380,4235.5,474.3
1051455270,24373.5,474.3
1051440140,6958.4,584.2
1051440050,8196.2,584.2
1051417260,6992.3,765.1
1051417180,229.4,765.2
1051415100,5238.5,780.9
1051415020,22858.4,780.9
1050018130,6307.9,0.0
1050018310,19893.8,0.0
1050018320,2393.4,0.0
1050018410,10720.0,0.0
1050018420,27419.2,0.0
1050018860,15674.1,0.0
1050018870,5622.3,0.0
1050019010,16712.8,0.0
1050019020,18946.2,0.0
1050019180,22907.8,0.0
1050019190,1081.2,0.0
1050019270,22892.1,0.0
1050019280,3212.6,0.0
1050019420,6494.9,0.0
1051327980,31517.3,179.2
1051327880,22935.1,179.4
1051340390,27694.7,552.6
1051340470,1618.6,552.8
