date,sro_sum,sp_mean,str_mean,tp_sum,ssro_sum,t2m_mean,streamflow
1990-01-01,1.0997520763340333e-5,18644.772657705176,-1.3702631190806357e6,0.0033383922269996295,2.0074269068081028e-7,62.45059237011295,NaN
1990-01-02,6.000897322583098e-5,18627.983218925154,-806463.060012063,0.013257584077532763,2.0074269068081028e-7,62.479797970660634,NaN
1990-01-03,0.00021314114964518673,18642.605293150104,-894778.684976535,0.02282619957336453,2.0074269068081028e-7,62.38188641652845,NaN
1990-01-04,0.0005631852448063809,18661.009240455456,-744295.8597894361,0.014151604213402419,2.0074269068081028e-7,62.27546084967739,NaN
1990-01-05,1.5536343789813364e-5,18661.428650905014,-1.0740480279162754e6,0.0027088868591167523,2.0074269068081028e-7,62.660378687640815,NaN
1990-01-06,7.76404756685276e-6,18688.800127122748,-717001.8773811179,0.001331490629828151,2.0074269068081028e-7,62.4998748472606,NaN
1990-01-07,1.1795578242350027e-6,18711.053444508205,-1.243875922693615e6,0.0006111805168812825,2.0074269068081028e-7,62.66844614615513,NaN
1990-01-08,2.3186972335100495e-5,18686.7343247893,-927752.1075087556,0.004541380654341537,2.0074269068081028e-7,62.66496355941114,NaN
1990-01-09,0.00022408917847185078,18660.962717497383,-481785.7290386763,0.025300119671572155,2.0074269068081028e-7,62.3168439088021,NaN
1990-01-10,0.001820824847809611,18640.94046100144,-261535.66013324386,0.03999201135728706,4.027036289612789e-5,62.123464729237554,NaN
1990-01-11,0.00019386816463595535,18636.38951626767,-417419.32515211985,0.015284506063520923,2.0074269068081028e-7,62.15978023717773,NaN
1990-01-12,0.000518421850242362,18651.563742695464,-533783.4483235439,0.015457272671813259,2.0074269068081028e-7,62.0930837775137,NaN
1990-01-13,8.037902949815962e-5,18622.748928654422,-967402.6179208935,0.0074158693875986375,2.0074269068081028e-7,62.2822718500932,NaN
1990-01-14,4.923622834158157e-5,18626.625818366305,-1.0048352307703187e6,0.004719720799759389,2.0074269068081028e-7,62.410015951960034,NaN
1990-01-15,0.00013861866598762935,18636.557167835188,-920802.7897278159,0.004225482395491697,2.0074269068081028e-7,62.39076832372113,NaN
1990-01-16,0.001580180616517935,18667.729801990386,-535416.2713636424,0.02068503746643478,7.156247064381769e-7,62.25431466687155,NaN
