date,sro_sum,sp_mean,str_mean,tp_sum,ssro_sum,t2m_mean,streamflow
1990-01-01,1.0017427708719543e-7,61460.41416491477,-4.473853578445138e6,2.48158822887542e-5,2.352024685196033e-6,176.0481822817851,NaN
1990-01-02,2.77785743801374e-6,61247.71007206191,-2.1812211223146766e6,0.0005220235296312926,2.341111536949252e-6,177.79515738719394,NaN
1990-01-03,2.7968534490754648e-5,61049.12810535419,-1.7632835840717622e6,0.0033581861928686707,2.341226412193954e-6,178.20822812844574,NaN
1990-01-04,1.0948986649641809e-5,61156.18958438345,-1.313927450127892e6,0.0011974368152832535,2.3412953373407748e-6,178.42207606244307,NaN
1990-01-05,1.1712413578603218e-5,61630.69889882289,-3.9690600012853686e6,0.001180143773254406,2.3412953373407748e-6,174.3133837523465,NaN
1990-01-06,0.0,61990.698548709355,-5.544396880045008e6,2.6072991577666867e-9,2.3412953373407748e-6,172.70445930115446,NaN
1990-01-07,0.0,61946.93801882514,-5.066190853381714e6,0.0,2.341410212585477e-6,172.92548993117748,NaN
1990-01-08,0.0,61971.90418934831,-5.202617628892423e6,0.0,2.3385153564189475e-6,172.99644298092616,NaN
1990-01-09,0.0,61942.48162537474,-5.376066958755396e6,0.0,2.3385153564189475e-6,172.26646899142543,NaN
1990-01-10,2.108606696712407e-8,62167.74625564872,-4.7614727138947835e6,2.0735915384200433e-5,2.3386302316636508e-6,172.67252128401591,NaN
1990-01-11,0.0,62351.49516380416,-5.2830266752363425e6,0.0,2.338905932250936e-6,172.22342320875674,NaN
1990-01-12,0.0,62125.89552063299,-5.040876067049561e6,0.0,2.338905932250936e-6,171.96949808489904,NaN
1990-01-13,0.0,61790.576223212345,-5.072289724093793e6,0.0,2.338905932250936e-6,172.34799374078915,NaN
1990-01-14,0.0,61536.32512301424,-4.649472949597007e6,0.0,2.3390208074956385e-6,173.86595087985967,NaN
1990-01-15,0.0,61648.007646969105,-4.308917361872215e6,9.171174787463757e-8,2.3390208074956385e-6,174.17921590582407,NaN
1990-01-16,3.2977743032938845e-6,61577.132780276,-2.6569449408398545e6,0.0006178461409053165,2.3275332830254172e-6,175.72047290009186,NaN
1990-01-17,9.7502963031549e-7,61582.907762706265,-2.7557574303935603e6,0.0002616356263216235,2.3276481582701196e-6,174.77064364616066,NaN
1990-01-18,0.0,61958.42578425314,-5.01262411467392e6,1.781176419630832e-6,2.3276481582701196e-6,173.93258606162118,NaN
1990-01-19,1.1130475231912999e-8,61898.43588741651,-3.4601248472134317e6,4.881105198512021e-5,2.3212610946646767e-6,175.74720663406958,NaN
1990-01-20,8.358430375393967e-6,61728.86736195684,-2.3112539181408216e6,0.0011312266041935692,2.3212610946646767e-6,176.81336194158396,NaN
1990-01-21,8.600345070957216e-5,61499.18531427965,-1.4738369194566745e6,0.011192832707226092,2.309773570194456e-6,175.70455555525754,NaN
1990-01-22,2.6371187623046572e-6,61468.20695956778,-3.774405220303881e6,0.00020205701545723893,2.309888445439158e-6,175.76995872040217,NaN
1990-01-23,1.9997135473577768e-6,61757.5708625085,-5.2343313957029665e6,0.00038360873114077966,2.2985847213604606e-6,173.74488995219133,NaN
1990-01-24,5.191748335946447e-7,62010.33536419916,-5.411466064548468e6,0.0,2.2985847213604606e-6,172.7644393775366,NaN
1990-01-25,4.812693818326285e-7,62225.63411225743,-5.150386857721751e6,0.0,2.2985847213604606e-6,173.97213467170707,NaN
1990-01-26,5.8691614257539845e-6,61964.10925660938,-2.7531622669493062e6,0.001249019687002993,2.2749893460986276e-6,175.5598006411889,NaN
1990-01-27,3.72532677493307e-5,61798.57170840287,-1.13795796127151e6,0.006150887721262751,2.2749893460986276e-6,174.71879874433932,NaN
1990-01-28,4.847507471412931e-6,61938.462231516045,-4.53752027279373e6,2.449687923681151e-6,2.2755637223221425e-6,174.61410909853208,NaN
1990-01-29,2.389403852422307e-6,62019.717454653386,-4.892922546289863e6,6.974525247041063e-8,2.2755637223221425e-6,174.6903254771975,NaN
1990-01-30,1.4981619662148774e-6,61735.30108234587,-4.447958163165304e6,0.0,2.2755637223221425e-6,175.86874793452088,NaN
1990-01-31,8.977415072406739e-7,61506.74041872264,-5.320799890840573e6,0.0,2.239512504188571e-6,175.46745077296322,NaN
1990-02-01,4.090332716043453e-7,61332.5058881605,-3.3137927391990814e6,2.223298808635299e-5,2.2396360948656088e-6,175.46298054432543,NaN
1990-02-02,3.922958554572278e-8,61452.75735372467,-4.300713038476936e6,2.0877870093555162e-5,2.2396360948656088e-6,174.94230014938321,NaN
1990-02-03,1.8966369871279194e-8,61802.84689533537,-4.915407832551572e6,1.2687675919687087e-5,2.2396360948656088e-6,174.73056633565773,NaN
1990-02-04,5.426083893302501e-7,61699.41651798516,-4.0927000082847467e6,8.939379431652146e-5,2.2396360948656088e-6,174.7770684049198,NaN
1990-02-05,0.0,61409.845318026724,-4.856758463601953e6,7.810095167727726e-8,2.2396360948656088e-6,174.65537784963772,NaN
1990-02-06,3.113969931990931e-5,61558.645687116805,-3.2997117087039123e6,0.00450026696102961,2.2397596855426456e-6,176.89947703983324,NaN
1990-02-07,5.609761838114507e-5,61814.394541018635,-1.8730645079830228e6,0.007012497610053009,2.2397596855426456e-6,177.6584445604334,NaN
1990-02-08,8.630792505090509e-6,61662.539778077495,-1.744384814372024e6,0.0010489272295235036,2.2397596855426456e-6,176.43283028132035,NaN
1990-02-09,2.5042092459108557e-6,61181.095265925636,-2.962582023124528e6,0.0003370998363557571,2.2397596855426456e-6,174.92673525459043,NaN
1990-02-10,1.7428391801599646e-6,61276.90151842051,-4.4146552653964795e6,0.0002631166142764322,2.2397596855426456e-6,176.8194170428622,NaN
1990-02-11,9.918722493361542e-6,61426.46457770691,-3.038737272771284e6,0.0012052190270159184,2.2397596855426456e-6,177.00476401359168,NaN
1990-02-12,4.939025083430469e-5,61489.31557584448,-2.5473448665804416e6,0.004651674240601912,2.626277168909188e-6,177.79594697619603,NaN
1990-02-13,5.288310237297696e-5,61111.998355629454,-2.7390430784884803e6,0.005227335023624062,2.240303484521611e-6,178.32731510228456,NaN
1990-02-14,0.00017910048438200588,60555.718921082436,-2.397824357947499e6,0.008945894241902865,8.590837397135707e-5,177.59344675239896,NaN
1990-02-15,9.834954359749979e-7,61118.39501782648,-3.598853173779062e6,0.00014380778526832834,2.2414158006149438e-6,178.3717547943538,NaN
1990-02-16,1.8674052721989824e-5,61027.75950559439,-1.5980808273227029e6,0.0016141520836050862,2.241885445187686e-6,179.26885826595193,NaN
1990-02-17,9.87052846120255e-5,60736.32728829744,-2.4228314396343767e6,0.0030958035035854345,1.4838148376290625e-5,180.2534385933255,NaN
1990-02-18,0.00019074235020989544,60893.33906447277,-2.7207972383442656e6,0.0057740581033307,8.180036817544862e-5,176.34422339847978,NaN
1990-02-19,3.246167151046117e-8,61555.62544915647,-5.213501212601762e6,1.099333040324138e-5,2.255109647630668e-6,173.78885454636327,NaN
1990-02-20,5.99385919650254e-8,61550.7010662597,-5.176643924870128e6,5.4745818829260165e-8,2.2629205784194214e-6,175.16398004875063,NaN
1990-02-21,1.0176186911705642e-7,61631.276949053485,-4.401233890831515e6,9.937435597626796e-6,2.2689765215942483e-6,174.9587094525379,NaN
1990-02-22,1.3981618815366071e-8,61693.448823848026,-4.962595695738564e6,5.000542057800675e-7,2.2737718398632856e-6,174.79110293573274,NaN
1990-02-23,1.1347400777688405e-9,61406.76345743758,-5.290183300456458e6,0.0,2.2799760918505714e-6,175.36998414625242,NaN
1990-02-24,0.0,61511.38299491501,-5.287560477099112e6,3.468584086331158e-10,2.285043309609111e-6,175.5059257680177,NaN
1990-02-25,0.0,61791.880990347105,-5.220107231413055e6,0.0,2.2862792163794805e-6,176.06582628967607,NaN
